Trocha(mm),Peralte(mm),Distancia(m),Latitud,Longitud,Velocidad(km/h),HoraGPS
1008.8, -30.02,117.786, No data,No data,0.0,00:00:00
1009.5, -146.86,118.896, No data,No data,0.0,00:00:00
1008.7, -51.86,119.980, No data,No data,0.0,00:00:00
1009.1, 8.96,121.041, No data,No data,0.0,00:00:00
1010.0, 89.63,121.715, No data,No data,0.0,00:00:00
1009.2, -14.21,122.575, No data,No data,0.0,00:00:00
1007.0, -48.38,123.320, No data,No data,0.0,00:00:00
1006.6, -30.51,123.739, No data,No data,0.0,00:00:00
1007.6, 67.25,124.430, -34.597110,-58.388728,0.1,11:35:58
1005.7, -1.20,125.181, -34.597117,-58.388720,0.0,11:35:59
1007.0, -39.55,125.819, No data,No data,0.0,00:00:00
1006.8, 12.52,126.481, -34.597121,-58.388705,0.5,11:36:00
1005.9, -57.91,127.030, No data,No data,0.0,00:00:00
1002.8, 32.71,127.575, No data,No data,0.0,00:00:00
1003.8, 19.62,128.155, No data,No data,0.0,00:00:00
1002.9, 28.97,128.836, No data,No data,0.0,00:00:00
1001.9, 7.99,129.457, No data,No data,0.0,00:00:00
996.8, 13.01,129.724, No data,No data,0.0,00:00:00
1005.4, 8.00,130.044, No data,No data,0.0,00:00:00
1003.2, -6.99,130.422, No data,No data,0.0,00:00:00
1002.7, -20.27,130.725, No data,No data,0.0,00:00:00
1002.3, 22.03,131.031, No data,No data,0.0,00:00:00
1004.3, 12.50,131.287, No data,No data,0.0,00:00:00
1004.1, -8.12,131.849, No data,No data,0.0,00:00:00
1002.0, 7.99,132.585, No data,No data,0.0,00:00:00
1004.6, 44.95,133.179, No data,No data,0.0,00:00:00
1002.6, 32.14,133.931, No data,No data,0.0,00:00:00
1005.9, -1.57,134.749, No data,No data,0.0,00:00:00
1002.8, -4.92,135.577, No data,No data,0.0,00:00:00
1005.7, 2.75,136.468, No data,No data,0.0,00:00:00
1005.3, 15.32,137.258, No data,No data,0.0,00:00:00
1006.0, -8.52,137.827, No data,No data,0.0,00:00:00
1005.4, 26.40,138.290, No data,No data,0.0,00:00:00
1006.2, -10.78,139.174, No data,No data,0.0,00:00:00
1007.3, 1.80,140.135, No data,No data,0.0,00:00:00
1008.1, -13.44,141.005, No data,No data,0.0,00:00:00
1008.2, -4.97,142.034, No data,No data,0.0,00:00:00
1007.0, 6.32,143.113, No data,No data,0.0,00:00:00
1005.8, -7.58,144.150, No data,No data,0.0,00:00:00
1003.1, 6.69,145.261, No data,No data,0.0,00:00:00
1003.3, -45.58,146.388, No data,No data,0.0,00:00:00
1003.6, -40.35,147.633, No data,No data,0.0,00:00:00
1002.0, -59.74,148.789, No data,No data,0.0,00:00:00
1001.0, -118.74,149.921, No data,No data,0.0,00:00:00
1003.6, -59.27,151.277, No data,No data,0.0,00:00:00
